InputType,N,Algorithm,Run,Time
Random,10,Selection Sort,1,0.000000
Random,10,Selection Sort,2,0.000000
Random,10,Selection Sort,3,0.000000
Random,10,Selection Sort,4,0.000000
Random,10,Selection Sort,5,0.000000
Random,10,Bubble Sort,1,0.000000
Random,10,Bubble Sort,2,0.000000
Random,10,Bubble Sort,3,0.000000
Random,10,Bubble Sort,4,0.000000
Random,10,Bubble Sort,5,0.000000
Random,10,Insertion Sort,1,0.000000
Random,10,Insertion Sort,2,0.000000
Random,10,Insertion Sort,3,0.000000
Random,10,Insertion Sort,4,0.000000
Random,10,Insertion Sort,5,0.000000
Random,10,Merge Sort,1,0.000000
Random,10,Merge Sort,2,0.000000
Random,10,Merge Sort,3,0.000000
Random,10,Merge Sort,4,0.000000
Random,10,Merge Sort,5,0.000000
Random,10,Quick Sort,1,0.000000
Random,10,Quick Sort,2,0.000000
Random,10,Quick Sort,3,0.000000
Random,10,Quick Sort,4,0.000000
Random,10,Quick Sort,5,0.000000
Random,10,Heap Sort,1,0.000000
Random,10,Heap Sort,2,0.000000
Random,10,Heap Sort,3,0.000000
Random,10,Heap Sort,4,0.000000
Random,10,Heap Sort,5,0.000000
Random,100,Selection Sort,1,0.000000
Random,100,Selection Sort,2,0.000000
Random,100,Selection Sort,3,0.000000
Random,100,Selection Sort,4,0.000000
Random,100,Selection Sort,5,0.000000
Random,100,Bubble Sort,1,0.000000
Random,100,Bubble Sort,2,0.000000
Random,100,Bubble Sort,3,0.000000
Random,100,Bubble Sort,4,0.000000
Random,100,Bubble Sort,5,0.000000
Random,100,Insertion Sort,1,0.000000
Random,100,Insertion Sort,2,0.000000
Random,100,Insertion Sort,3,0.000000
Random,100,Insertion Sort,4,0.000000
Random,100,Insertion Sort,5,0.000000
Random,100,Merge Sort,1,0.000000
Random,100,Merge Sort,2,0.000000
Random,100,Merge Sort,3,0.000000
Random,100,Merge Sort,4,0.000000
Random,100,Merge Sort,5,0.000000
Random,100,Quick Sort,1,0.000000
Random,100,Quick Sort,2,0.000000
Random,100,Quick Sort,3,0.000000
Random,100,Quick Sort,4,0.000000
Random,100,Quick Sort,5,0.000000
Random,100,Heap Sort,1,0.000000
Random,100,Heap Sort,2,0.000000
Random,100,Heap Sort,3,0.000000
Random,100,Heap Sort,4,0.000000
Random,100,Heap Sort,5,0.000000
Random,1000,Selection Sort,1,0.000000
Random,1000,Selection Sort,2,0.000000
Random,1000,Selection Sort,3,0.000000
Random,1000,Selection Sort,4,0.000000
Random,1000,Selection Sort,5,0.000000
Random,1000,Bubble Sort,1,0.000000
Random,1000,Bubble Sort,2,0.016000
Random,1000,Bubble Sort,3,0.000000
Random,1000,Bubble Sort,4,0.000000
Random,1000,Bubble Sort,5,0.000000
Random,1000,Insertion Sort,1,0.000000
Random,1000,Insertion Sort,2,0.000000
Random,1000,Insertion Sort,3,0.000000
Random,1000,Insertion Sort,4,0.000000
Random,1000,Insertion Sort,5,0.000000
Random,1000,Merge Sort,1,0.000000
Random,1000,Merge Sort,2,0.000000
Random,1000,Merge Sort,3,0.000000
Random,1000,Merge Sort,4,0.000000
Random,1000,Merge Sort,5,0.000000
Random,1000,Quick Sort,1,0.000000
Random,1000,Quick Sort,2,0.000000
Random,1000,Quick Sort,3,0.000000
Random,1000,Quick Sort,4,0.000000
Random,1000,Quick Sort,5,0.000000
Random,1000,Heap Sort,1,0.000000
Random,1000,Heap Sort,2,0.000000
Random,1000,Heap Sort,3,0.000000
Random,1000,Heap Sort,4,0.000000
Random,1000,Heap Sort,5,0.000000
Random,10000,Selection Sort,1,0.094000
Random,10000,Selection Sort,2,0.094000
Random,10000,Selection Sort,3,0.078000
Random,10000,Selection Sort,4,0.079000
Random,10000,Selection Sort,5,0.093000
Random,10000,Bubble Sort,1,0.188000
Random,10000,Bubble Sort,2,0.148000
Random,10000,Bubble Sort,3,0.172000
Random,10000,Bubble Sort,4,0.205000
Random,10000,Bubble Sort,5,0.197000
Random,10000,Insertion Sort,1,0.032000
Random,10000,Insertion Sort,2,0.079000
Random,10000,Insertion Sort,3,0.079000
Random,10000,Insertion Sort,4,0.047000
Random,10000,Insertion Sort,5,0.063000
Random,10000,Merge Sort,1,0.000000
Random,10000,Merge Sort,2,0.000000
Random,10000,Merge Sort,3,0.000000
Random,10000,Merge Sort,4,0.000000
Random,10000,Merge Sort,5,0.015000
Random,10000,Quick Sort,1,0.000000
Random,10000,Quick Sort,2,0.000000
Random,10000,Quick Sort,3,0.000000
Random,10000,Quick Sort,4,0.000000
Random,10000,Quick Sort,5,0.000000
Random,10000,Heap Sort,1,0.000000
Random,10000,Heap Sor
