InputType,N,Algorithm,Run,Time
Sorted,10,Selection Sort,1,0.000000
Sorted,10,Selection Sort,2,0.000000
Sorted,10,Selection Sort,3,0.000000
Sorted,10,Selection Sort,4,0.000000
Sorted,10,Selection Sort,5,0.000000
Sorted,10,Bubble Sort,1,0.000000
Sorted,10,Bubble Sort,2,0.000000
Sorted,10,Bubble Sort,3,0.000000
Sorted,10,Bubble Sort,4,0.000000
Sorted,10,Bubble Sort,5,0.000000
Sorted,10,Insertion Sort,1,0.000000
Sorted,10,Insertion Sort,2,0.000000
Sorted,10,Insertion Sort,3,0.000000
Sorted,10,Insertion Sort,4,0.000000
Sorted,10,Insertion Sort,5,0.000000
Sorted,10,Merge Sort,1,0.000000
Sorted,10,Merge Sort,2,0.000000
Sorted,10,Merge Sort,3,0.000000
Sorted,10,Merge Sort,4,0.000000
Sorted,10,Merge Sort,5,0.000000
Sorted,10,Quick Sort,1,0.000000
Sorted,10,Quick Sort,2,0.000000
Sorted,10,Quick Sort,3,0.000000
Sorted,10,Quick Sort,4,0.000000
Sorted,10,Quick Sort,5,0.000000
Sorted,10,Heap Sort,1,0.000000
Sorted,10,Heap Sort,2,0.000000
Sorted,10,Heap Sort,3,0.000000
Sorted,10,Heap Sort,4,0.000000
Sorted,10,Heap Sort,5,0.000000
Sorted,100,Selection Sort,1,0.000000
Sorted,100,Selection Sort,2,0.000000
Sorted,100,Selection Sort,3,0.000000
Sorted,100,Selection Sort,4,0.000000
Sorted,100,Selection Sort,5,0.000000
Sorted,100,Bubble Sort,1,0.000000
Sorted,100,Bubble Sort,2,0.000000
Sorted,100,Bubble Sort,3,0.000000
Sorted,100,Bubble Sort,4,0.000000
Sorted,100,Bubble Sort,5,0.000000
Sorted,100,Insertion Sort,1,0.000000
Sorted,100,Insertion Sort,2,0.000000
Sorted,100,Insertion Sort,3,0.000000
Sorted,100,Insertion Sort,4,0.000000
Sorted,100,Insertion Sort,5,0.000000
Sorted,100,Merge Sort,1,0.000000
Sorted,100,Merge Sort,2,0.000000
Sorted,100,Merge Sort,3,0.000000
Sorted,100,Merge Sort,4,0.000000
Sorted,100,Merge Sort,5,0.000000
Sorted,100,Quick Sort,1,0.000000
Sorted,100,Quick Sort,2,0.000000
Sorted,100,Quick Sort,3,0.000000
Sorted,100,Quick Sort,4,0.000000
Sorted,100,Quick Sort,5,0.000000
Sorted,100,Heap Sort,1,0.000000
Sorted,100,Heap Sort,2,0.000000
Sorted,100,Heap Sort,3,0.000000
Sorted,100,Heap Sort,4,0.000000
Sorted,100,Heap Sort,5,0.000000
Sorted,1000,Selection Sort,1,0.000000
